\aa	A&A
\aap	A&A
\ana	A&A
\aapr	A&A Rev.
\aapr	Astron. Astrophys. Rev.
\aaps	A&AS
\aasupp	A&AS
\adassi	Astronomical Data Analysis Software and Systems I
\adassii	Astronomical Data Analysis Software and Systems II
\adassiii	Astronomical Data Analysis Software and Systems III
\adassiv	Astronomical Data Analysis Software and Systems IV
\adassv	Astronomical Data Analysis Software and Systems V
\adassvi	Astronomical Data Analysis Software and Systems VI
\adassvii	Astronomical Data Analysis Software and Systems VII
\adassviii	Astronomical Data Analysis Software and Systems VIII
\adassix        Astronomical Data Analysis Software and Systems IX
\adassx	Astronomical Data Analysis Software and Systems X
\adassxi	Astronomical Data Analysis Software and Systems XI
\adassxii	Astronomical Data Analysis Software and Systems XII
\adassxiii	Astronomical Data Analysis Software and Systems XIII
\adassxiv	Astronomical Data Analysis Software and Systems XIV
\adassxv	Astronomical Data Analysis Software and Systems XV
\adassxvi	Astronomical Data Analysis Software and Systems XVI
\adassxvii	Astronomical Data Analysis Software and Systems XVII
\adassxviii	Astronomical Data Analysis Software and Systems XVIII
\adassxix	Astronomical Data Analysis Software and Systems XIX
\adassxx	Astronomical Data Analysis Software and Systems XX
\ag	AnGeo
\aj	AJ
\an	Astron. Nachr.
\ao	Appl. Opt.
\apj	ApJ
\apjl	ApJ
\apjlett	ApJ
\apjs	ApJS
\apjsupp	ApJS
\apl	Astron. Lett.
\aplett	Astrophys. Lett.
\applopt	Appl. Opt.
\apspr	Astrophys. Space Phys. Res.
\apss	Ap&SS
\aps	Ap&SS
\araa	ARA&A
\astap	A&A
\aeta	A&A
\aspcs	ASP Conference Proceedings
\azh	AZh
\baas	BAAS
\bain	Bull. Astron. Inst. Netherlands
\fcp	Fundam. Cosmic Phys.
\gca	Geochim. Cosmochim. Acta
\grl	Geophys. Res. Lett.
\iaucirc	IAU Circ.
\jcp	J. Chem. Phys.
\jfm	J. Fluid Mech.
\jgr	J. Geophys. Res.
\jqsrt	J. Quant. Spec. Radiat. Transf.
\jrasc	JRASC
\memras	MmRAS
\memsai	Mem. Soc. Astron. Italiana
\mnras	MNRAS
\nar	New Astron. Rev.
\nat	Nature
\nphysa	Nucl. Phys. A
\pasj	PASJ
\pasp	PASP
\physrep	Phys. Rep.
\physscr	Phys. Scr.
\planss	Planet. Space Sci.
\pp	Phys. Plasmas
\pra	Phys. Rev. A
\prb	Phys. Rev. B
\prc	Phys. Rev. C
\prd	Phys. Rev. D
\pre	Phys. Rev. E
\prl	Phys. Rev. Lett.
\procspie	Proc. SPIE
\qjras	QJRAS
\rma	Rev. Mod. Astron.
\rmaa	Rev. Mex. Astron. Astrofis.
\rmaasc	Rev. Mex. Astron. Astrof. Conf. Ser.
\skytel	S&T
\sol	Sol. Phys.
\solphys	Sol. Phys.
\sph	Sol. Phys.
\sovast	Soviet Astron.
\sp	Sol. Phys.
\ssr	Space Sci. Rev.
\via	Vistas in Astronomy
\zap	Z. Astrophys.
